[fixture] [Mon Aug 31 15:35:39 2026] PHP 8.5.4 Development Server (http://127.0.0.1:8091) started
chromium 151.0.7922.34 (fixture spawned)
tier low-android (low Android (Pixel 4a-class), CPU x6)
  low-android/sha16/inline/cold rep 1/50: solve 90 ms (p2v 151 ms, tx 250773 B, cachehits 0, js 42 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 2/50: solve 196 ms (p2v 250 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 3/50: solve 197 ms (p2v 252 ms, tx 250774 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 4/50: solve 209 ms (p2v 264 ms, tx 250778 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 5/50: solve 245 ms (p2v 299 ms, tx 250771 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 6/50: solve 274 ms (p2v 330 ms, tx 250772 B, cachehits 0, js 45 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 7/50: solve 119 ms (p2v 173 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 8/50: solve 106 ms (p2v 160 ms, tx 250772 B, cachehits 0, js 38 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 9/50: solve 81 ms (p2v 136 ms, tx 250773 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 10/50: solve 84 ms (p2v 142 ms, tx 250775 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 11/50: solve 135 ms (p2v 195 ms, tx 250771 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 12/50: solve 191 ms (p2v 249 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 13/50: solve 215 ms (p2v 275 ms, tx 250774 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 14/50: solve 114 ms (p2v 171 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 15/50: solve 172 ms (p2v 227 ms, tx 250772 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 16/50: solve 113 ms (p2v 173 ms, tx 250773 B, cachehits 0, js 41 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 17/50: solve 125 ms (p2v 182 ms, tx 250771 B, cachehits 0, js 39 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 18/50: solve 175 ms (p2v 226 ms, tx 250774 B, cachehits 0, js 26 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
  low-android/sha16/inline/cold rep 19/50: solve 242 ms (p2v 299 ms, tx 250773 B, cachehits 0, js 40 ms, wasmC - ms, longtasks 0(0 ms), heap 9.5 MB)
